"play_uuid","play_ep","play_scrimmage_epa"
"884f6cf2-001f-44c5-8c76-ad2213f9eac1",,
cfb0895e-02d4-4332-8522-326cd2bfa97b,0.9345375299,-0.1917206645
d4fdbd26-472f-45ed-9616-66b73bb1d0c4,0.7428168654,-0.9114708304
"89f65385-1542-4785-a830-cf3041171375",-0.16865396500000002,-1.4671115875
"47f1bf06-23c6-495b-83ac-70d041e3052d",-1.6357655525,0.7820593119
"54839b1f-406c-4ab9-afcc-395389b17ab1",0.8537062407,-0.37117683890000003
f7c668e1-78b3-4194-b52d-c2e540d2395a,0.48252940180000004,1.0955936909
"7406b767-22d1-4422-b8c2-59929f6ff468",1.5781230927,0.5631322861
"8e0d6b54-b5c0-4401-9350-e4bc99fc95df",2.1412553787,0.2591032982
"8a46a79d-05eb-4474-b77c-3c7ce21da78a",2.4003586769,-1.1187958717
"10b3d89a-b4ea-4da0-b5ba-fd09291ebdcb",1.2815628052,-0.1832808256
c686ecfa-b047-4a2b-83c2-acb8b5f1e4e5,1.0982819796,-1.6398105621
"29771e05-3098-45dd-bc1f-6427e8267a6d",-0.541528523,-0.3121777177
"172a5cf7-2bf7-443b-afba-83cc7a5efe7b",0.8537062407,1.2565065622
"6335968d-2d69-4917-9c55-4d0f7f9b246b",2.1102128029,4.8580822945
a3c405be-babd-4ff7-aa35-ac466099f13b,,
b3b19442-92e4-4bb6-8d43-740c93a0d42b,,
ac580643-21ec-4c5f-a9e1-f7f20689ee17,0.9345375299,-0.5797382593
cbb63dec-de41-4ac1-abcb-48cf8b5fe7a8,0.3547992408,-5.2172207832
c9f5e6fe-03a6-4ae1-bd78-1d0d0cfd68c4,4.8624215126,-0.35185384750000004
d72437d1-0852-48e1-b959-07beab17cc81,,
"1b79e943-57fd-46f4-aeed-6c917dd46d6e",4.5105676651,-0.5444242954
"97750964-5d11-4da3-b28b-1827dcbbac9e",3.9661433697,-1.2211737633
"413aa6d8-9344-4b5a-98cd-bbf99a5b1471",,
"7f47955e-c43f-4287-93e4-6348a3605d02",2.7449696063999998,0.2550303936
"77983ddc-e783-4256-93fa-cefd8a53c2ce",,
c4486efc-4498-4f03-a07e-a1e8dcc22d3e,0.9325740933000001,1.4628486633
a156fb29-42a5-41b1-94f5-afc6a16badfb,2.3954226971,-0.5600671768000001
de8b5c0d-a7a1-46e2-b1c5-cda5600e6a3e,1.8353555202,-0.7880394459000001
"13c8befc-155d-4742-9748-951f17d371f8",1.0473160744,-1.4803321362
c9307d69-cd79-4675-9501-5fd170a3d70f,-0.4330161214,-0.47586673500000004
a0ac3b7a-a264-4b85-8fb1-6c5818715d62,0.9088828564,-0.0104400516
"0b132961-0e9c-4e9e-9423-117a22009f13",0.8984428048,0.8754994273000001
"29a79c51-69e2-4ea0-b925-14f07a508807",1.7739422321,-0.4163976908
"636f411d-3b98-4701-aeae-d1ca4176cddb",1.3575445414,1.0765448809
"6316c82b-3911-45b4-9d2a-07087cc92b68",,
"13a2ab86-d7d1-44dd-9f50-5d96823f2623",2.4340894222,-0.5763927698
a9804cca-610c-4875-9454-871020156a14,1.8576966524,1.4947267771
"785bcec9-4a1f-45a4-b19d-a7627048f9ff",3.3524234295,0.47315526010000003
d76b531b-57ff-4aec-b09f-5dfde7fe4c6f,3.8255786896,0.4662160873
"21119f06-04d4-4c9d-baee-dba537f3f10c",4.2917947769,0.5934987068
f18776c5-36cd-40e1-857f-b24c1e53eda8,4.8852934837,0.4677872658
"996dbf8f-8faf-40a8-9995-788da230f10f",5.3530807495,-1.0555019379
"68994194-52c6-4e8f-a6e1-ed029ed36450",4.2975788116,-0.1102852821
"6f3c25c1-5a59-4fc7-bbbf-9246c21413cb",4.1872935295,-1.4442534447
"3ead6eab-1ad7-4c4c-9682-e79458c3143e",2.7430400848,0.2569599152
"7ac19a15-0888-42c5-a62d-c477fcfd060f",,
"2f60e265-8a5e-4883-ae7b-de3c8d2fab47",0.9778112769,-0.6401404142
bf92edd3-02c7-4129-a7a6-13ab54c26a8e,0.3376708329,-0.7282488942
a83944c7-6b23-463c-8cda-8f9f75e7d041,,
"217a9d66-1761-4554-9611-6935bb1e2a0f",-0.3905780613,-0.6584746838000001
ca110b3d-254c-4d38-9105-45e3c09e5d6f,-1.0490527153,-0.6680287123
c3d13130-063e-40ec-970b-d4428ca224f4,1.7170814276000002,0.0552157164
"26252abd-1313-498b-bcbf-be4750e48980",1.7722971439,0.5828039646000001
"0f141fb8-0c20-427a-9204-6f11cabd3599",2.3551011086,-0.5373333693
"61416610-3ddf-464b-81b9-36a7a2da7adb",1.8177677393,-0.7933595181
"32ba5a26-2a52-4e64-b2d4-b57605a94473",1.0244082212,-2.0526719093
"37942c8f-97aa-48ff-81e8-9eb7db4db84e",-1.0282638073,0.3105547428
b9cdd0c1-b074-47d2-8e48-599702d2ac32,0.7177090645,-0.5150831342000001
"2550a1bb-37b1-4ebe-ac73-972a68b0960a",0.20262594520000002,-0.7877135277
c41be5af-0abd-422c-82db-e8ecdf16a58d,-0.5850875974,-1.8500196934000002
"2ccbb592-3e2d-4f2a-9952-f3df386c3ec9",-2.4351072311,-0.32676649090000004
ca790350-c160-416a-8510-d4680f0a3df1,2.7618737221,-0.6083431244
"6d13cd99-a007-46a2-a9e8-f351ac3abf2d",2.1535305977,-0.2244181633
e90479dd-6f63-4a10-ae38-3ac0bb0c1a69,1.9291124344,1.414452076
"41369873-136c-492b-944c-3f8a69a97658",3.3435645103000002,0.6314702034
"2fa2e415-3c6d-40a2-977b-b3aa1636a13f",3.9750347137,0.8404889107
ebd2f17c-5c75-45d5-8a39-218f1efdb2d8,4.8155236244,-0.0217909813
"38405647-4402-4b49-890c-07fd64aeb295",4.7937326431,2.1745624542
"24ce4b5e-38a7-4963-94ca-d1f5621bd8c3",,
e2585079-0cb2-4133-bfbc-5f539ef3bd78,,
c3e73c55-1262-4b32-8abe-7eeb249f3024,1.0685945749,-0.8316040635
"53b1f35b-ad78-404f-8250-7121487f4850",0.2369905263,-0.6041796207
f386efff-b338-4a61-a723-239c68005bd0,-0.3671890795,1.6512352228
acb01e34-991a-4ad1-b088-b531de7e733b,1.2840461731000001,-0.0356625319
"42df26ac-2096-491f-9966-51db389013c7",1.2483836412,1.0531324148
"16149bf8-6bf7-4554-bb6c-eac02658141d",2.3015160561,-0.2584066391
"94ecea5c-0145-4c3e-9de9-241f102764c7",2.043109417,-0.9678035975
f9c19837-254b-4b6e-92a0-69dc36743537,,
"4c3e2157-30fa-4c0b-bde9-e10e599c314a",1.0753058195,-0.2664878368
"4b4ea553-d633-4358-80d4-059ac3e6b36a",0.8088179827,-3.2031168938
a8bbf78b-a6ec-45cd-965b-29a7940efd31,2.3942990303,-0.056045532200000005
"4b25019f-1316-4f18-8713-ee5cd0b8d15c",,
bf8780bf-f896-4b61-9064-401891ad5a99,2.3382534981,1.2468860149
"2ff0a691-7a4e-4d74-aadc-3a1a2d3b4024",3.585139513,-0.1963453293
d1534376-6b40-4261-b05f-3c3a25ee5972,3.3887941837,-0.3351078033
"98b20b47-ad8e-495e-88bb-c16bccb7461e",3.0536863804,-0.5673789978
"90c804db-9c05-4ffa-b8a1-f576f49e2b8f",2.4863073826,0.5136926174
"4a7b0dfc-bf98-4e3a-8fd7-75a954093a43",,
a7a08c6c-8833-4088-8783-6858800e876b,0.7611907721000001,-0.7611907721000001
"3731da40-e858-4ea3-8169-956d70354b58",,
"0b709133-e9cd-45e1-964c-267469eef3d7",0.9345375299,-0.495375663
c1df6d47-2fd1-4dcb-a5f2-24fe8f76c6b1,0.43916186690000003,1.550593853
"49dd2294-376c-4a10-8ff8-fd35a570781e",1.9897557497,-0.4837596416
"66773034-9da3-47d5-8abc-247224579c87",1.5059961081000002,-0.6309731007
ad94a87c-3212-4156-93a8-4c90e3d2af10,0.8750230074,-1.6793456078
e019aecf-4a4f-46ee-a530-3e46f99d67f4,-0.8043225408,-6.1639723778
"3374a40e-0cd6-4f6a-8b6b-86230bb9c716",,
e3c23b87-28bb-400f-bd6e-d32314846c26,,
a00527b5-80ee-4ba9-a45e-91375a79dbeb,0.9345375299,0.7938573360000001
"1f845283-427e-47a2-87a5-1d8c6be2d0de",1.728394866,0.11155724530000001
dcd7dab8-1fcd-4530-850e-3ece13f6525e,1.8399521112000001,-1.041566968
"2d4de2a1-c9f8-461e-b998-9b85808dd6f7",0.7983851433,-3.1390180588
"513b17e6-183c-4b12-81e1-8c8470458062",-2.3406329155,0.22661304470000002
d3ccaa66-a17f-4fec-91b5-bd9f0da59da3,2.1140198708,0.7018690109
c9e6cdf3-713e-41fa-9e31-9ed1104848c1,2.8158888817000003,-0.3448877335
"84021846-7727-4b3d-b505-ae9b8dcb85db",2.4710011482,-0.6010489464000001
"528617e8-e2e0-4736-9f15-3d8c518b6ea1",1.8699522017999999,-0.8707621694000001
e0359424-210c-474c-a393-4604c2fbdc54,0.9991900325,2.3660926819
e5d19a0d-47ce-4bb1-9639-4a1330ccbc89,3.365282774,-0.6111805439
"68731977-38cd-429c-bacc-1e5f673ee2b6",2.7541022301,1.8031234741
"666cea48-cda0-48a4-acde-8958c9a4fabb",4.5572257042,2.4110693932
"79545271-8b4a-4885-a762-f247254de2d4",,
a5259e70-5cc0-45fb-8157-acae88288b53,,
"93e08b7f-6b2b-4895-bfb6-c3e0e879f797",0.9874287844,0.7007036209
"5c82262b-5111-4f9a-9e65-7f43b64e2519",1.6881324053,0.34380328660000004
b1b8defb-d692-4adf-ac9c-e784b9ddf48f,2.0319356918,1.316092968
"1e0c3e2c-2d8a-4efe-aef0-1a2f50439131",3.3480286598,-0.1458675861
fab61661-dc99-471e-a254-cd63b8acf80e,3.2021610737,-0.2381331921
"7ff4687b-51fc-4410-9e9b-56425910c567",2.9640278816,-1.4671005011
a97600ae-5b04-420b-bfa9-b36115c2f056,1.4969273806,-3.7297286987
a0862654-2d84-42f1-a1c5-1fefca1320cb,2.2328014374,1.1179945469
"9bd5b364-2575-42d6-ad34-29611f62e526",3.3507959843,-0.41054177280000004
f051b5d7-8f4d-45cc-881e-2831f2ea009b,2.9402542114,1.3228163719000001
b78f3801-f44f-4936-937c-a67a1a3db8ca,4.2630705833,-0.014703273800000001
c2f19279-d99e-4fd6-9976-8dd7942fc509,4.2483673096,-0.5552964211
